id,memo,status,review_id,created_at,updated_at,confirm_type
4,NULL,등록신청,5,"2019-12-27 06:20:18","2020-05-27 11:24:21",리뷰
5,NULL,등록신청,6,"2019-12-27 06:29:18","2020-05-27 11:24:22",리뷰
6,NULL,등록신청,7,"2019-12-27 06:54:08","2020-05-27 11:24:22",리뷰
7,"안녕하세요! 오마방 담당자 입니다. 전월세 후기를 작성해 주셔서 대단히 감사합니다! 내용은 유의사항에 맞게 아주 잘 작성해 주셨습니다. 다만, '좋아요'버튼을 누르신 항목에 짧게라도 좋은점을 작성해 주시면, 앞으로 리뷰를 읽는 분들에게 더욱 노출될 가능성이 높습니다. 따라서 보완을 요청드리지만, 고객님께서 지금 이대로 등록하시길 원하신다면, 자동적으로 3일 이내에 반려하지 않고 최종 등록되십니다^^! 보완하시지 않아도 유의사항에 맞게 작성해 주셨기에 3일 이내에 최종 등록되고, 메일로 등록완료되었다고 말씀드리겠습니다! 리뷰 남겨주셔서 대단히 감사합니다. 궁금한 사항은 카카오톡 @오마방으로 연락주시면 되겠습니다! 오늘도 고생많으셨습니다!",등록반려,5,"2019-12-27 08:59:23","2020-05-27 11:24:22",리뷰
8,NULL,등록완료,6,"2019-12-27 08:59:58","2020-05-27 11:24:22",리뷰
9,NULL,등록완료,7,"2019-12-27 09:00:41","2020-05-27 11:24:22",리뷰
10,NULL,등록신청,5,"2019-12-27 10:48:24","2020-05-27 11:24:22",리뷰
11,NULL,등록완료,5,"2019-12-28 04:50:01","2020-05-27 11:24:22",리뷰
12,NULL,등록완료,5,"2019-12-28 04:51:58","2020-05-27 11:24:22",리뷰
13,NULL,등록신청,4,"2019-12-28 06:25:20","2020-05-27 11:24:22",리뷰
16,NULL,등록신청,9,"2019-12-29 06:04:46","2020-05-27 11:24:22",리뷰
17,"안녕하세요! 고객님,
오마방 담당자 입니다.
오마방에 리뷰를 작성해 주셔서 대단히 감사합니다!
고객님이 작성해주신 리뷰는 유의사항에 맞게 아주 잘 작성해 주셨습니다.
다만, '좋아요' 혹은 '보통이에요'를 클릭해 주신 항목에서 어떤 점이 좋았는지, 보통이었는지를 간단하게라도 작성해 주신다면, 향후 타 고객님이 리뷰를 읽으실 때 더 높은 유입이 될 것이라 기대 됩니다.
당사가 권장하고 있는 리뷰의 글자 수는 명시되어 있지는 않으나 평균 500자 이상은 넘어야 추후 고객님이 작성하신 리뷰를 읽은 고객들의 만족도가 높을 것으로 예상됩니다.﻿
(현재, 고객님이 작성하신 총 글자 수는 100자 미만으로 예상됩니다.)
하지만, 고객님께서는 올바르게 작성해 주셨기에 보완을 따로 하지 않으셔도 아무 문제없이 3일 이내에 보완 및 수정없이도 자동으로 리뷰가 최종 등록되시겠습니다!﻿
오마방에 관심을 가져주시고 기여해주셔서 감사합니다.
앞으로 더 노력하겠습니다!
이상입니다!
홈페이지 : http://ohmybang.com
고객센터 : 카카오톡 @오마방",등록반려,9,"2019-12-29 06:40:00","2020-05-27 11:24:22",리뷰
18,NULL,등록완료,4,"2019-12-29 06:56:23","2020-05-27 11:24:22",리뷰
19,NULL,등록신청,13,"2019-12-30 17:29:44","2020-05-27 11:24:22",리뷰
20,NULL,등록완료,13,"2019-12-30 20:47:56","2020-05-27 11:24:22",리뷰
21,NULL,등록신청,12,"2019-12-31 04:07:22","2020-05-27 11:24:22",리뷰
22,NULL,등록완료,12,"2019-12-31 05:54:19","2020-05-27 11:24:22",리뷰
23,NULL,등록신청,15,"2019-12-31 12:35:28","2020-05-27 11:24:22",리뷰
24,"안녕하세요! 2019년이 얼마 남지 않은 시간에 이렇게 메시지를 보내게 되었습니다! 전월세 리뷰를 남겨주셔서 대단히 대단히 감사드립니다. 또한, 성의있고 실제 리뷰를 바탕으로 진정성이 느껴져 더욱 감사드립니다. 다만, 당사측의 실수이고 보완해야 될 점이 확인되었는데, 살고 계시는 궁전빌라의 '동' 또는 '호'를 chan306@carryculture.co.kr 으로 전달해 주시면 대단히 감사하겠습니다! '리뷰 반려'로 시스템 상 보이시겠지만, 내용상 오류는 전혀 없으시기에, 내일 자동으로 '최종 등록'되시겠습니다. 당사의 미숙한 점으로 한번의 수고를 더 끼치게 된 점 죄송하게 생각합니다. 앞으로 더 보완해 나가고 수정해 나가도록 하겠습니다. 내일 '최종 등록'된 후 이메일이 송부될 예정입니다. 긴 글 읽어주셔서 감사합니다. 오늘 한 해 고생 많으셨습니다! 깐깐하고, 솔직한 오마방이 되도록 노력하겠습니다. 이상입니다!",등록완료,15,"2019-12-31 13:39:38","2020-05-27 11:24:22",리뷰
26,등록완료,등록완료,9,"2020-01-01 12:46:28","2020-05-27 11:24:23",리뷰
27,NULL,등록신청,17,"2020-01-02 08:09:25","2020-05-27 11:24:23",리뷰
28,NULL,등록완료,17,"2020-01-02 10:10:00","2020-05-27 11:24:23",리뷰
29,NULL,등록신청,20,"2020-01-04 20:32:54","2020-05-27 11:24:23",리뷰
